Myc,MYC translocation
Id3,MYC translocation
Ccnd3,MYC translocation
Braf,MYC translocation
Trp53,MYC translocation
Pou2Af1,MYC translocation
Bcl6,MYC translocation
Tcf3,MYC translocation
Cdkn2A,MYC translocation
Bcl2,BCL2 translocation
Ezh2,BCL2 translocation
Crebbp,BCL2 translocation
Stat6,BCL2 translocation
Kmt2D,BCL2 translocation
Ep300,BCL2 translocation
Card11,BCL2 translocation
Ddx3X,BCL2 translocation
Kras,BCL2 translocation
